,Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G_x,A_x,P_x,G_y,A_y,P_y,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
53,Dick Irvin,L,C,1892-07-19,Hamilton,ON,CAN,CAN,69,162,--,--,--,19261927,Y,95,29,23,52,29,23,52,0,84,0.55,--,--,--,--,--,--,0,2,--,--,--,--
54,Ed Gorman,L,D,1892-09-25,Buckingham,QC,CAN,CAN,72,180,--,--,--,19241925,N,111,14,6,20,14,6,20,0,110,0.18,--,--,--,--,--,--,1,2,--,--,--,--
55,George Carey,R,R,1892-11-04,Glasgow,--,GBR,GBR,66,140,--,--,--,19191920,N,72,21,12,33,21,12,33,0,20,0.46,--,--,--,--,--,--,0,2,--,--,--,--
56,Barney Stanley,L,R,1893-01-01,Paisley,ON,CAN,CAN,72,175,--,--,--,19271928,Y,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
57,Alvin Fisher,R,R,1893-01-05,Sault Ste. Marie,ON,CAN,CAN,73,175,--,--,--,19241925,N,9,1,0,1,1,0,1,0,9,0.11,--,--,--,--,--,--,0,0,--,--,--,--
58,Frank Nighbor,R,C,1893-01-26,Pembroke,ON,CAN,CAN,69,160,--,--,--,19171918,Y,349,139,100,239,139,100,239,0,266,0.68,--,--,--,--,--,--,3,26,--,--,--,--
59,Phil Stevens,R,C,1893-02-15,St. Lambert,ON,CAN,CAN,71,165,--,--,--,19171918,N,25,1,0,1,1,0,1,0,3,0.04,--,--,--,--,--,--,0,0,--,--,--,--
60,Joe Matte,R,D,1893-03-06,Bourget,ON,CAN,CAN,71,165,--,--,--,19191920,N,68,17,15,32,17,15,32,0,52,0.47,--,--,--,--,--,--,0,2,--,--,--,--
61,Fred McLean,L,D,1893-03-16,Lakeville Corner,NB,CAN,CAN,74,200,--,--,--,19191920,N,8,0,0,0,0,0,0,0,2,0.0,--,--,--,--,--,--,0,0,--,--,--,--
62,Bert McCaffrey,R,R,1893-04-12,Chesley,ON,CAN,CAN,70,180,--,--,--,19241925,N,261,43,35,78,43,35,78,0,204,0.3,--,--,--,--,--,--,0,6,--,--,--,--
63,Thomas McCarthy,R,R,1893-04-12,Hamilton,ON,CAN,CAN,71,165,--,--,--,19191920,N,35,22,7,29,22,7,29,0,10,0.83,--,--,--,--,--,--,0,0,--,--,--,--
64,Howard McNamara,L,D,1893-08-03,Randolph,ON,CAN,CAN,72,240,--,--,--,19191920,N,10,1,0,1,1,0,1,0,4,0.1,--,--,--,--,--,--,0,0,--,--,--,--
65,Alex Wellington,R,R,1893-08-04,Port Arthur,ON,CAN,CAN,0,0,--,--,--,19191920,N,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
66,Joe Simpson,R,D,1893-08-13,Selkirk,MB,CAN,CAN,70,175,--,--,--,19251926,Y,228,21,19,40,21,19,40,0,172,0.18,--,--,--,--,--,--,0,3,--,--,--,--
67,John Ingram,L,C,1893-12-19,Halifax,NS,CAN,CAN,71,170,--,--,--,19241925,N,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
68,Helge Bostrom,L,D,1894-01-09,Gimli,MB,CAN,CAN,68,185,--,--,--,19291930,N,96,3,3,6,3,3,6,0,68,0.06,--,--,--,--,--,--,0,3,--,--,--,--
69,Corb Denneny,R,C,1894-01-25,Cornwall,ON,CAN,CAN,68,160,--,--,--,19171918,N,176,103,42,145,103,42,145,0,150,0.82,--,--,--,--,--,--,1,8,--,--,--,--
70,Bert Corbeau,R,D,1894-02-09,Penetanguishene,ON,CAN,CAN,71,200,--,--,--,19171918,N,258,63,48,111,63,48,111,0,665,0.43,--,--,--,--,--,--,0,7,--,--,--,--
71,Morley Bruce,R,D,1894-03-07,North Gower,ON,CAN,CAN,69,170,--,--,--,19171918,N,71,8,2,10,8,2,10,0,27,0.14,--,--,--,--,--,--,0,0,--,--,--,--
72,Bobby Benson,L,D,1894-05-18,Winnipeg,MB,CAN,CAN,66,135,--,--,--,19241925,N,8,0,2,2,0,2,2,0,4,0.25,--,--,--,--,--,--,0,0,--,--,--,--
73,Mickey MacKay,L,C,1894-05-25,Chelsea,ON,CAN,CAN,69,162,--,--,--,19261927,Y,147,44,19,63,44,19,63,0,79,0.43,--,--,--,--,--,--,1,8,--,--,--,--
74,Charlie Langlois,R,R,1894-08-25,Lotbiniere,QC,CAN,CAN,72,210,--,--,--,19241925,N,151,22,5,27,22,5,27,0,207,0.18,--,--,--,--,--,--,1,3,--,--,--,--
75,Harry Helman,R,R,1894-08-28,Ottawa,ON,CAN,CAN,66,145,--,--,--,19221923,N,44,1,0,1,1,0,1,0,7,0.02,--,--,--,--,--,--,0,0,--,--,--,--
76,Leth Graham,L,L,1894-10-10,Ottawa,ON,CAN,CAN,69,150,--,--,--,19201921,N,26,3,0,3,3,0,3,0,0,0.12,--,--,--,--,--,--,0,0,--,--,--,--
77,Ted Stackhouse,R,D,1894-11-02,Wolfville,NS,CAN,CAN,73,200,--,--,--,19211922,N,13,0,0,0,0,0,0,0,2,0.0,--,--,--,--,--,--,0,0,--,--,--,--
78,Lloyd Andrews,L,L,1894-11-04,Tillsonburg,ON,CAN,CAN,0,0,--,--,--,19211922,N,54,8,5,13,8,5,13,0,12,0.24,--,--,--,--,--,--,0,3,--,--,--,--
79,Harry Meeking,L,L,1894-11-04,Berlin,ON,CAN,CAN,67,160,--,--,--,19171918,N,64,19,13,32,19,13,32,0,68,0.5,--,--,--,--,--,--,0,1,--,--,--,--
80,Clem Loughlin,L,D,1894-11-15,Carroll,MB,CAN,CAN,72,180,--,--,--,19261927,N,101,8,6,14,8,6,14,0,81,0.14,--,--,--,--,--,--,0,2,--,--,--,--
81,Amos Arbour,L,L,1895-01-26,Waubaushene,ON,CAN,CAN,68,160,--,--,--,19181919,N,114,52,17,69,52,17,69,0,78,0.61,--,--,--,--,--,--,1,5,--,--,--,--
82,Herb Drury,R,D,1895-03-02,Midland,ON,CAN,USA,67,165,--,--,--,19251926,N,216,24,13,37,24,13,37,0,223,0.17,--,--,--,--,--,--,0,3,--,--,--,--
83,John Morrison,R,L,1895-03-04,Selkirk,MB,CAN,CAN,68,163,--,--,--,19251926,N,18,0,1,1,0,1,1,0,0,0.06,--,--,--,--,--,--,0,0,--,--,--,--
84,Duke Keats,R,C,1895-03-21,Montréal,QC,CAN,CAN,71,195,--,--,--,19261927,Y,82,29,19,48,29,19,48,0,114,0.59,--,--,--,--,--,--,1,6,--,--,--,--
85,Amby Moran,L,D,1895-04-03,Winnipeg,MB,CAN,CAN,72,200,--,--,--,19261927,N,35,1,1,2,1,1,2,0,24,0.06,--,--,--,--,--,--,0,1,--,--,--,--
86,Alex McKinnon,R,R,1895-04-17,Sault Ste. Marie,ON,CAN,CAN,68,175,--,--,--,19241925,N,195,19,12,31,19,12,31,0,237,0.16,--,--,--,--,--,--,1,4,--,--,--,--
87,Glenn Smith,L,D,1895-04-25,Meaford,ON,CAN,CAN,68,180,--,--,--,19211922,N,9,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
88,Mickey Roach,L,C,1895-05-01,Glace Bay,NS,CAN,CAN,66,158,--,--,--,19191920,N,211,77,37,114,77,37,114,0,54,0.54,--,--,--,--,--,--,1,9,--,--,--,--
89,Frank Fredrickson,L,C,1895-06-11,Winnipeg,MB,CAN,CAN,71,180,--,--,--,19261927,Y,161,39,34,73,39,34,73,0,211,0.45,--,--,--,--,--,--,0,9,--,--,--,--
90,Jack Adams,R,C,1895-06-14,Fort William,ON,CAN,CAN,69,175,--,--,--,19171918,Y,173,81,44,125,81,44,125,0,384,0.72,--,--,--,--,--,--,1,12,--,--,--,--
91,Rod Smylie,R,L,1895-09-28,Toronto,ON,CAN,CAN,70,170,--,--,--,19201921,N,74,3,2,5,3,2,5,0,12,0.07,--,--,--,--,--,--,0,0,--,--,--,--
92,Beattie Ramsay,L,D,1895-12-12,Lumsden,SK,CAN,CAN,67,143,--,--,--,19271928,N,43,0,2,2,0,2,2,0,10,0.05,--,--,--,--,--,--,0,0,--,--,--,--
93,Babe Donnelly,L,D,1895-12-22,Sault Ste. Marie,ON,CAN,CAN,67,180,--,--,--,19261927,N,34,0,1,1,0,1,1,0,14,0.03,--,--,--,--,--,--,0,0,--,--,--,--
94,Herb Mitchell,L,L,1896-01-04,Meaford,ON,CAN,CAN,70,190,--,--,--,19241925,N,55,6,2,8,6,2,8,0,60,0.15,--,--,--,--,--,--,0,0,--,--,--,--
95,Alf Skinner,R,R,1896-01-26,Toronto,ON,CAN,CAN,70,180,--,--,--,19171918,N,71,26,12,38,26,12,38,0,93,0.54,--,--,--,--,--,--,0,1,--,--,--,--
96,Cecil Browne,L,L,1896-02-13,St. James,MB,CAN,CAN,72,165,--,--,--,19271928,N,13,2,0,2,2,0,2,0,4,0.15,--,--,--,--,--,--,0,0,--,--,--,--
97,Wilf Loughlin,L,D,1896-02-28,Carroll,MB,CAN,CAN,74,200,--,--,--,19231924,N,14,0,0,0,0,0,0,0,2,0.0,--,--,--,--,--,--,0,0,--,--,--,--
98,Jack MacKell,R,R,1896-04-12,Ottawa,ON,CAN,CAN,67,150,--,--,--,19191920,N,45,4,2,6,4,2,6,0,54,0.13,--,--,--,--,--,--,0,0,--,--,--,--
99,Dave Campbell,L,D,1896-04-27,Lachute,QC,CAN,CAN,72,200,--,--,--,19201921,N,2,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
100,Reg Noble,L,C,1896-06-23,Collingwood,ON,CAN,CAN,68,180,--,--,--,19171918,Y,510,167,106,273,167,106,273,0,925,0.54,--,--,--,--,--,--,2,15,--,--,--,--
101,Ty Arbour,L,L,1896-06-29,Waubaushene,ON,CAN,CAN,67,160,--,--,--,19261927,N,207,28,28,56,28,28,56,0,110,0.27,--,--,--,--,--,--,1,6,--,--,--,--
102,Shorty Green,R,R,1896-07-17,Sudbury,ON,CAN,CAN,70,152,--,--,--,19231924,Y,103,34,22,56,34,22,56,0,167,0.54,--,--,--,--,--,--,2,6,--,--,--,--
103,Rodger Smith,L,D,1896-07-26,Ottawa,ON,CAN,CAN,72,175,--,--,--,19251926,N,210,20,4,24,20,4,24,0,180,0.11,--,--,--,--,--,--,1,4,--,--,--,--
104,Gerry Geran,R,C,1896-08-03,Holyoke,MA,USA,USA,69,180,--,--,--,19171918,N,37,5,1,6,5,1,6,0,6,0.16,--,--,--,--,--,--,0,0,--,--,--,--
105,George Boucher,L,D,1896-08-19,Ottawa,ON,CAN,CAN,69,169,--,--,--,19171918,Y,450,118,87,205,118,87,205,0,845,0.46,--,--,--,--,--,--,1,24,--,--,--,--
106,Percy Traub,L,D,1896-08-23,Elmwood,ON,CAN,CAN,69,175,--,--,--,19261927,N,130,3,3,6,3,3,6,0,225,0.05,--,--,--,--,--,--,0,1,--,--,--,--
107,Bill Cook,R,R,1896-10-09,Brantford,ON,CAN,CAN,70,170,--,--,--,19261927,Y,475,228,138,366,228,138,366,0,386,0.77,33,63,9,21,0,0,5,42,--,--,--,--
108,Clarence Boucher,L,D,1896-11-01,North Bay,ON,CAN,CAN,73,195,--,--,--,19261927,N,47,2,3,5,2,3,5,0,137,0.11,--,--,--,--,--,--,0,0,--,--,--,--
109,Billy Cameron,L,R,1896-12-05,Timmins,ON,CAN,CAN,71,160,--,--,--,19231924,N,39,0,1,1,0,1,1,0,4,0.03,--,--,--,--,--,--,0,0,--,--,--,--
110,John Brackenborough,L,L,1897-02-09,Parry Sound,ON,CAN,CAN,71,170,--,--,--,19251926,N,7,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
111,George McNaughton,R,R,1897-04-04,Gaspe,QC,CAN,CAN,69,150,--,--,--,19191920,N,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
112,Jim Riley,L,L,1897-05-25,Bayfield,NB,CAN,CAN,71,180,--,--,--,19261927,N,9,0,2,2,0,2,2,0,10,0.22,--,--,--,--,--,--,0,0,--,--,--,--
113,George Carroll,R,D,1897-06-03,Moncton,NB,CAN,CAN,74,210,--,--,--,19241925,N,19,0,0,0,0,0,0,0,9,0.0,--,--,--,--,--,--,0,0,--,--,--,--
114,Nobby Clark,R,D,1897-06-18,Orillia,ON,CAN,CAN,73,190,--,--,--,19271928,N,2,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
115,Charles Fraser,L,D,1897-07-22,Stellarton,NS,CAN,CAN,0,0,--,--,--,19231924,N,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
116,Gordon Spence,L,L,1897-07-25,Haileybury,ON,CAN,CAN,67,150,--,--,--,19251926,N,3,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
117,Art Gagne,R,R,1897-10-11,Ottawa,ON,CAN,CAN,67,160,--,--,--,19261927,N,228,67,34,101,67,34,101,0,259,0.44,--,--,--,--,--,--,0,9,--,--,--,--
118,Jimmy Herberts,R,C,1897-10-31,Cayuga,ON,CAN,CAN,70,185,--,--,--,19241925,N,206,83,34,117,83,34,117,0,259,0.57,--,--,--,--,--,--,3,17,--,--,--,--
119,Gerry Munro,L,D,1897-11-28,Sault Ste. Marie,ON,CAN,CAN,70,175,--,--,--,19241925,N,34,1,2,3,1,2,3,0,32,0.09,--,--,--,--,--,--,0,0,--,--,--,--
120,Paddy Nolan,L,L,1897-12-01,Charlottetown,PE,CAN,CAN,68,170,--,--,--,19211922,N,2,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
121,Hec Lepine,R,C,1897-12-07,Ste-Anne-de-Bellevue,QC,CAN,CAN,71,185,--,--,--,19251926,N,33,5,2,7,5,2,7,0,2,0.21,--,--,--,--,--,--,0,1,--,--,--,--
122,George Hay,L,L,1898-01-10,Listowel,ON,CAN,CAN,70,155,--,--,--,19261927,Y,240,74,62,136,74,62,136,0,87,0.57,--,--,--,--,--,--,2,10,--,--,--,--
123,Charley McVeigh,L,C,1898-03-29,Kenora,ON,CAN,CAN,66,145,--,--,--,19261927,N,395,84,89,173,84,89,173,0,132,0.44,18,38,3,6,1,1,4,14,--,--,--,--
124,Rene Joliat,L,R,1898-04-25,Ottawa,ON,CAN,CAN,65,140,--,--,--,19241925,N,1,0,0,0,0,0,0,0,0,0.0,--,--,--,--,--,--,0,0,--,--,--,--
125,Stan Brown,L,D,1898-05-09,North Bay,ON,CAN,CAN,70,150,--,--,--,19261927,N,50,8,3,11,8,3,11,0,18,0.22,--,--,--,--,--,--,0,2,--,--,--,--
126,Babe Dye,R,R,1898-05-13,Hamilton,ON,CAN,CAN,68,150,--,--,--,19191920,Y,272,203,49,252,203,49,252,0,220,0.93,--,--,--,--,--,--,3,30,--,--,--,--
127,Billy Boyd,R,R,1898-05-15,Belleville,ON,CAN,CAN,70,185,--,--,--,19261927,N,142,15,7,22,15,7,22,0,74,0.15,--,--,--,--,--,--,0,5,--,--,--,--
128,Mickey McGuire,L,L,1898-07-07,Gravenhurst,ON,CAN,CAN,70,158,--,--,--,19261927,N,36,3,0,3,3,0,3,0,6,0.08,--,--,--,--,--,--,0,0,--,--,--,--
129,Archie Briden,L,L,1898-07-16,Renfrew,ON,CAN,CAN,68,170,--,--,--,19261927,N,73,9,5,14,9,5,14,0,56,0.19,--,--,--,--,--,--,0,0,--,--,--,--
130,Red Dutton,R,D,1898-07-23,Russell,MB,CAN,CAN,72,185,--,--,--,19261927,Y,449,28,68,96,28,68,96,0,884,0.21,8,26,2,8,0,0,0,4,--,--,--,--
131,Stan Jackson,L,L,1898-08-27,Parrsboro,NS,CAN,CAN,72,180,--,--,--,19211922,N,86,9,9,18,9,9,18,0,84,0.21,--,--,--,--,--,--,0,1,--,--,--,--
132,Emory Sparrow,L,R,1898-09-15,Hartney,MB,CAN,CAN,71,180,--,--,--,19241925,N,8,0,0,0,0,0,0,0,4,0.0,--,--,--,--,--,--,0,0,--,--,--,--
133,Harry Oliver,R,R,1898-10-26,Selkirk,MB,CAN,CAN,68,155,--,--,--,19261927,Y,465,127,85,212,127,85,212,0,147,0.46,17,48,5,9,1,1,1,31,--,--,--,--
134,Ernie Parkes,R,R,1898-11-04,Dunnville,ON,CAN,CAN,70,150,--,--,--,19241925,N,17,0,0,0,0,0,0,0,2,0.0,--,--,--,--,--,--,0,0,--,--,--,--
135,Percy Galbraith,L,L,1898-12-05,Toronto,ON,CAN,CAN,70,162,--,--,--,19261927,N,348,31,29,60,31,29,60,0,238,0.17,2,2,0,0,0,0,0,5,--,--,--,--
